Fecha;Nivel de agua;Temperatura de agua;Conductividad Eléctrica;Nivel de bateria
2024-01-11 13:50:00;0,131;9,68;100,4;14,38
2024-01-11 13:55:00;0,131;9,74;100,4;14,38
2024-01-11 14:00:00;0,13;9,77;100,5;14,38
2024-01-11 14:05:00;0,13;9,88;100,5;14,38
2024-01-11 14:10:00;0,13;9,96;100,5;14,38
2024-01-11 14:15:00;0,13;9,86;100,7;14,38
2024-01-11 14:20:00;0,13;9,79;100,8;14,38
2024-01-11 14:25:00;0,13;9,75;100,9;14,38
2024-01-11 14:30:00;0,13;9,71;101;14,38
2024-01-11 14:35:00;0,13;9,71;101,1;14,38
2024-01-11 14:40:00;0,13;9,71;101,1;14,38
2024-01-11 14:45:00;0,13;9,73;101,2;14,39
2024-01-11 14:50:00;0,13;9,78;101,1;14,39
2024-01-11 14:55:00;0,13;9,8;101,1;14,39
2024-01-11 15:00:00;0,13;9,83;101;14,39
2024-01-11 15:05:00;0,13;9,84;101,1;14,38
2024-01-11 15:10:00;0,13;9,86;101,3;14,38
2024-01-11 15:15:00;0,13;9,85;101,3;14,38
2024-01-11 15:20:00;0,13;9,82;101,4;14,39
2024-01-11 15:25:00;0,13;9,81;101,4;14,39
2024-01-11 15:30:00;0,13;9,8;101,5;14,38
2024-01-11 15:35:00;0,13;9,76;101,6;14,3
2024-01-11 15:40:00;0,13;9,74;101,7;14,39
2024-01-11 15:45:00;0,13;9,78;101,8;14,38
2024-01-11 15:50:00;0,13;9,82;101,8;14,38
2024-01-11 15:55:00;0,13;9,8;101,9;14,38
2024-01-11 16:00:00;0,13;9,75;102;14,27
2024-01-11 16:05:00;0,13;9,7;102,1;14,37
2024-01-11 16:10:00;0,13;9,66;102,2;14,38
2024-01-11 16:15:00;0,13;9,61;102,4;14,36
2024-01-11 16:20:00;0,13;9,55;102,6;14,38
2024-01-11 16:25:00;0,13;9,49;102,8;14,38
2024-01-11 16:30:00;0,13;9,45;102,7;14,38
2024-01-11 16:35:00;0,13;9,42;102,8;14,38
2024-01-11 16:40:00;0,13;9,39;102,8;14,38
2024-01-11 16:45:00;0,13;9,35;103;14,38
2024-01-11 16:50:00;0,13;9,31;103,1;14,39
2024-01-11 16:55:00;0,13;9,28;102,9;14,38
2024-01-11 17:00:00;0,13;9,24;102,9;14,38
2024-01-11 17:05:00;0,13;9,2;103,3;14,38
2024-01-11 17:10:00;0,13;9,17;103,2;14,39
2024-01-11 17:15:00;0,13;9,13;103,3;14,39
2024-01-11 17:20:00;0,13;9,09;103,4;14,39
2024-01-11 17:25:00;0,13;9,04;103,5;14,39
2024-01-11 17:30:00;0,13;8,99;103,6;14,39
2024-01-11 17:35:00;0,13;8,95;103,8;14,39
2024-01-11 17:40:00;0,13;8,91;103,9;14,39
2024-01-11 17:45:00;0,13;8,87;103,9;14,39
2024-01-11 17:50:00;0,13;8,82;104;14,29
2024-01-11 17:55:00;0,13;8,76;104,2;14,2
2024-01-11 18:00:00;0,13;8,71;104,3;14,09
2024-01-11 18:05:00;0,13;8,66;104,3;13,96
2024-01-11 18:10:00;0,13;8,61;104,4;13,71
2024-01-11 18:15:00;0,13;8,56;104,5;13,65
2024-01-11 18:20:00;0,13;8,53;104,5;13,49
2024-01-11 18:25:00;0,13;8,48;104,6;13,13
2024-01-11 18:30:00;0,13;8,43;104,6;13,17
2024-01-11 18:35:00;0,13;8,39;104,6;13,06
2024-01-11 18:40:00;0,13;8,35;104,8;12,99
2024-01-11 18:45:00;0,13;8,3;104,8;12,96
2024-01-11 18:50:00;0,13;8,26;104,9;12,94
2024-01-11 18:55:00;0,13;8,22;105;12,94
2024-01-11 19:00:00;0,13;8,17;105;12,75
2024-01-11 19:05:00;0,13;8,14;105,1;12,91
2024-01-11 19:10:00;0,13;8,1;105,1;12,73
